id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
43d7043900854c629c520402ff307d65,2b71eabaeec7497bb7100cb19fdc03f6,vid-01.mp4,500,ultrafast,2024-12-17 08:59:51.959717,2024-12-17 09:00:10.519598,2024-12-17 09:00:10.540531,2024-12-17 09:00:11.396459,2024-12-17 09:03:53.274217,2024-12-17 09:03:53.376062,tc-vm-1,compute3,0 days 00:00:18.559881,0 days 00:00:00.020933,0 days 00:00:00.855928,0 days 00:03:41.877758,0 days 00:00:00.101845,0.82,1.66,1.97,2.4,4.24,4.34
0d03c4c9299f4f52a19d60914df68390,2b71eabaeec7497bb7100cb19fdc03f6,vid-02.mp4,600,ultrafast,2024-12-17 08:59:53.916589,2024-12-17 09:00:11.107335,2024-12-17 09:00:11.119566,2024-12-17 09:00:11.561729,2024-12-17 09:01:03.948403,2024-12-17 09:01:04.037134,tc-vm-2,compute2,0 days 00:00:17.190746,0 days 00:00:00.012231,0 days 00:00:00.442163,0 days 00:00:52.386674,0 days 00:00:00.088731,0.57,0.87,1.14,2.67,4.18,4.59
f3a993211ca04e9bb4e46ca85c524d35,2b71eabaeec7497bb7100cb19fdc03f6,vid-03.mp4,700,fast,2024-12-17 08:59:55.916088,2024-12-17 09:00:13.340593,2024-12-17 09:00:13.353016,2024-12-17 09:00:13.880958,2024-12-17 09:08:14.544984,2024-12-17 09:08:14.698089,tc-vm-3,compute1,0 days 00:00:17.424505,0 days 00:00:00.012423,0 days 00:00:00.527942,0 days 00:08:00.664026,0 days 00:00:00.153105,0.33,0.98,1.49,2.56,4.19,4.33
794eae43f9254d83a10e907531d07f5d,2b71eabaeec7497bb7100cb19fdc03f6,vid-04.mp4,750,fast,2024-12-17 08:59:58.911197,2024-12-17 09:00:14.754173,2024-12-17 09:00:14.769121,2024-12-17 09:00:15.077289,2024-12-17 09:02:15.836179,2024-12-17 09:02:15.939155,tc-vm-4,compute3,0 days 00:00:15.842976,0 days 00:00:00.014948,0 days 00:00:00.308168,0 days 00:02:00.758890,0 days 00:00:00.102976,0.82,1.43,1.8,2.4,4.15,4.33
358b36bae6314e47846c7443a77ad4aa,2b71eabaeec7497bb7100cb19fdc03f6,vid-05.mp4,450,ultrafast,2024-12-17 09:00:01.915489,2024-12-17 09:00:18.506500,2024-12-17 09:00:18.517206,2024-12-17 09:00:19.152432,2024-12-17 09:03:46.672875,2024-12-17 09:03:46.776926,tc-vm-5,compute2,0 days 00:00:16.591011,0 days 00:00:00.010706,0 days 00:00:00.635226,0 days 00:03:27.520443,0 days 00:00:00.104051,0.57,1.58,1.95,2.67,5.21,5.79
ace1a8a92f654ef78bad63672bb35892,2b71eabaeec7497bb7100cb19fdc03f6,vid-06.mp4,400,ultrafast,2024-12-17 09:00:38.938961,2024-12-17 09:01:04.064434,2024-12-17 09:01:04.072789,2024-12-17 09:01:04.880518,2024-12-17 09:04:35.980587,2024-12-17 09:04:36.087608,tc-vm-2,compute2,0 days 00:00:25.125473,0 days 00:00:00.008355,0 days 00:00:00.807729,0 days 00:03:31.100069,0 days 00:00:00.107021,1.41,1.81,1.98,5.19,5.6,5.8
3b4441ebd793430b8c5423cbe38bb166,2b71eabaeec7497bb7100cb19fdc03f6,vid-07.mp4,500,fast,2024-12-17 09:00:40.923529,2024-12-17 09:02:15.957905,2024-12-17 09:02:15.972021,2024-12-17 09:02:16.313410,2024-12-17 09:04:23.120913,2024-12-17 09:04:23.226905,tc-vm-4,compute3,0 days 00:01:35.034376,0 days 00:00:00.014116,0 days 00:00:00.341389,0 days 00:02:06.807503,0 days 00:00:00.105992,1.84,1.96,2.11,4.33,4.37,4.56
e361061377fe41ff9bca8ca9bde14822,2b71eabaeec7497bb7100cb19fdc03f6,vid-08.mp4,600,ultrafast,2024-12-17 09:00:42.918778,2024-12-17 09:03:46.808064,2024-12-17 09:03:46.817080,2024-12-17 09:03:47.159502,2024-12-17 09:04:40.898642,2024-12-17 09:04:40.984598,tc-vm-5,compute2,0 days 00:03:03.889286,0 days 00:00:00.009016,0 days 00:00:00.342422,0 days 00:00:53.739140,0 days 00:00:00.085956,1.96,1.97,1.98,5.79,5.8,5.8
ee7d244328604222a4ec68ea1827a051,2b71eabaeec7497bb7100cb19fdc03f6,vid-09.mp4,700,fast,2024-12-17 09:00:45.915221,2024-12-17 09:03:53.399146,2024-12-17 09:03:53.408076,2024-12-17 09:03:54.184505,2024-12-17 09:12:34.443036,2024-12-17 09:12:34.600712,tc-vm-1,compute3,0 days 00:03:07.483925,0 days 00:00:00.008930,0 days 00:00:00.776429,0 days 00:08:40.258531,0 days 00:00:00.157676,1.93,2.11,2.49,4.34,5.49,5.88
824579425add46228f15b128c6e5b084,2b71eabaeec7497bb7100cb19fdc03f6,vid-10.mp4,750,fast,2024-12-17 09:00:47.917866,2024-12-17 09:04:23.253205,2024-12-17 09:04:23.266041,2024-12-17 09:04:23.697650,2024-12-17 09:06:49.661147,2024-12-17 09:06:49.768064,tc-vm-4,compute3,0 days 00:03:35.335339,0 days 00:00:00.012836,0 days 00:00:00.431609,0 days 00:02:25.963497,0 days 00:00:00.106917,2.03,2.06,2.1,4.58,5.02,5.37
