# Delay,Movie,Bitrate,Speed
2,vid-01.mp4,500,ultrafast
2,vid-02.mp4,600,ultrafast
2,vid-03.mp4,700,fast
3,vid-04.mp4,750,fast
3,vid-05.mp4,450,ultrafast
# Rest period
37,vid-06.mp4,400,ultrafast
2,vid-07.mp4,500,fast
2,vid-08.mp4,600,ultrafast
3,vid-09.mp4,700,fast
2,vid-10.mp4,750,fast
# Rest period
29,vid-11.mp4,450,ultrafast
2,vid-12.mp4,400,ultrafast
3,vid-13.mp4,700,fast
2,vid-14.mp4,500,ultrafast
2,vid-15.mp4,600,fast
# Rest period
40,vid-16.mp4,800,fast
3,vid-17.mp4,450,ultrafast
2,vid-18.mp4,500,ultrafast
2,vid-19.mp4,750,fast
3,vid-20.mp4,600,fast
# Rest period
35,vid-21.mp4,400,ultrafast
2,vid-22.mp4,450,fast
3,vid-23.mp4,700,fast
2,vid-24.mp4,500,ultrafast
3,vid-25.mp4,800,fast
# Rest period
45,vid-26.mp4,450,ultrafast
2,vid-27.mp4,400,fast
2,vid-28.mp4,700,ultrafast
3,vid-29.mp4,750,fast
2,vid-30.mp4,500,ultrafast
# Rest period
40,vid-31.mp4,600,fast
2,vid-32.mp4,450,ultrafast
3,vid-33.mp4,400,ultrafast
2,vid-34.mp4,750,fast
3,vid-35.mp4,500,fast
# Rest period
40,vid-36.mp4,800,ultrafast
2,vid-37.mp4,450,fast
3,vid-38.mp4,600,ultrafast
2,vid-39.mp4,700,fast
2,vid-40.mp4,500,ultrafast
