id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
2473209dec7848be972d07b8e28b20b1,83e23b9f702f4bfc9418b2e0538d8fb0,vid-36.mp4,7383,fast,2024-12-17 10:07:19.367662,2024-12-17 10:07:38.930523,2024-12-17 10:07:38.944171,2024-12-17 10:07:39.119454,2024-12-17 10:07:57.810636,2024-12-17 10:07:57.853442,tc-vm-1,compute2,0 days 00:00:19.562861,0 days 00:00:00.013648,0 days 00:00:00.175283,0 days 00:00:18.691182,0 days 00:00:00.042806,0.49,0.49,0.49,2.47,2.47,2.47
d9635815829b4cc49b918c6e3415ffa4,83e23b9f702f4bfc9418b2e0538d8fb0,vid-10.mp4,4099,fast,2024-12-17 10:07:26.561506,2024-12-17 10:07:42.519398,2024-12-17 10:07:42.529238,2024-12-17 10:07:43.017388,2024-12-17 10:10:02.069780,2024-12-17 10:10:02.197716,tc-vm-2,compute3,0 days 00:00:15.957892,0 days 00:00:00.009840,0 days 00:00:00.488150,0 days 00:02:19.052392,0 days 00:00:00.127936,0.85,1.73,2.4,4.52,6.13,6.89
b889abdb920543f19b56d24daebb79fa,83e23b9f702f4bfc9418b2e0538d8fb0,vid-36.mp4,2384,fast,2024-12-17 10:07:31.234112,2024-12-17 10:07:47.382455,2024-12-17 10:07:47.390733,2024-12-17 10:07:47.545617,2024-12-17 10:08:05.867913,2024-12-17 10:08:05.917976,tc-vm-3,compute1,0 days 00:00:16.148343,0 days 00:00:00.008278,0 days 00:00:00.154884,0 days 00:00:18.322296,0 days 00:00:00.050063,0.6,0.6,0.6,4.06,4.32,4.57
18fc76f0f4fb44a7b6636948ffbfd5ee,83e23b9f702f4bfc9418b2e0538d8fb0,vid-20.mp4,3544,ultrafast,2024-12-17 10:07:38.094226,2024-12-17 10:07:53.907842,2024-12-17 10:07:53.914960,2024-12-17 10:07:54.240145,2024-12-17 10:08:02.619324,2024-12-17 10:08:02.662659,tc-vm-4,compute2,0 days 00:00:15.813616,0 days 00:00:00.007118,0 days 00:00:00.325185,0 days 00:00:08.379179,0 days 00:00:00.043335,,,,3.34,3.34,3.34
6555b6be94274e8f9d893165e7685de9,83e23b9f702f4bfc9418b2e0538d8fb0,vid-28.mp4,2857,fast,2024-12-17 10:07:45.560115,2024-12-17 10:07:57.868690,2024-12-17 10:07:57.876929,2024-12-17 10:07:58.122848,2024-12-17 10:08:58.496115,2024-12-17 10:08:58.554738,tc-vm-1,compute2,0 days 00:00:12.308575,0 days 00:00:00.008239,0 days 00:00:00.245919,0 days 00:01:00.373267,0 days 00:00:00.058623,0.82,1.28,1.66,3.34,4.65,5.17
1535be9d404e48dfb52d55feb20fae9e,83e23b9f702f4bfc9418b2e0538d8fb0,vid-40.mp4,5171,fast,2024-12-17 10:07:50.811980,2024-12-17 10:08:01.362684,2024-12-17 10:08:01.372226,2024-12-17 10:08:01.930799,2024-12-17 10:09:44.577173,2024-12-17 10:09:44.652649,tc-vm-5,compute3,0 days 00:00:10.550704,0 days 00:00:00.009542,0 days 00:00:00.558573,0 days 00:01:42.646374,0 days 00:00:00.075476,1.04,1.76,2.16,6.26,6.27,6.27
938ca243ea2c481bb1d35b25317ac983,83e23b9f702f4bfc9418b2e0538d8fb0,vid-17.mp4,5790,fast,2024-12-17 10:07:57.479801,2024-12-17 10:08:02.682993,2024-12-17 10:08:02.690655,2024-12-17 10:08:03.311369,2024-12-17 10:16:51.711944,2024-12-17 10:16:51.840865,tc-vm-4,compute2,0 days 00:00:05.203192,0 days 00:00:00.007662,0 days 00:00:00.620714,0 days 00:08:48.400575,0 days 00:00:00.128921,0.82,1.9,2.07,4.51,5.83,6.3
1a56d07affc248feb730a7c6abaae413,83e23b9f702f4bfc9418b2e0538d8fb0,vid-21.mp4,1184,fast,2024-12-17 10:08:04.037209,2024-12-17 10:08:05.944072,2024-12-17 10:08:05.955478,2024-12-17 10:08:06.190265,2024-12-17 10:09:26.905948,2024-12-17 10:09:26.978673,tc-vm-3,compute1,0 days 00:00:01.906863,0 days 00:00:00.011406,0 days 00:00:00.234787,0 days 00:01:20.715683,0 days 00:00:00.072725,0.69,0.9,1.04,4.76,4.86,4.95
63947511238d4bdd931e6e57346d7a1a,83e23b9f702f4bfc9418b2e0538d8fb0,vid-07.mp4,3380,fast,2024-12-17 10:08:07.175305,2024-12-17 10:08:58.578676,2024-12-17 10:08:58.586378,2024-12-17 10:08:58.978342,2024-12-17 10:11:05.243214,2024-12-17 10:11:05.351309,tc-vm-1,compute2,0 days 00:00:51.403371,0 days 00:00:00.007702,0 days 00:00:00.391964,0 days 00:02:06.264872,0 days 00:00:00.108095,1.73,1.87,1.96,5.18,5.18,5.19
d724acd17acb43519aad1effece4191e,83e23b9f702f4bfc9418b2e0538d8fb0,vid-11.mp4,3103,fast,2024-12-17 10:08:14.635950,2024-12-17 10:09:27.001010,2024-12-17 10:09:27.008699,2024-12-17 10:09:27.918733,2024-12-17 10:18:15.907473,2024-12-17 10:18:16.064712,tc-vm-3,compute1,0 days 00:01:12.365060,0 days 00:00:00.007689,0 days 00:00:00.910034,0 days 00:08:47.988740,0 days 00:00:00.157239,1.0,1.11,1.34,4.98,6.02,6.35
