id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
30bd79abe7e34aa783c1e5f9a2157eb9,069f18eb653b4bb3aa21aacd1dd05509,vid-06.mp4,4062,fast,2024-12-17 09:54:17.063273,2024-12-17 09:54:41.452412,2024-12-17 09:54:41.469735,2024-12-17 09:54:42.599548,2024-12-17 10:03:12.795858,2024-12-17 10:03:12.980115,tc-vm-2,compute2,0 days 00:00:24.389139,0 days 00:00:00.017323,0 days 00:00:01.129813,0 days 00:08:30.196310,0 days 00:00:00.184257,0.7,1.66,2.04,2.36,5.13,5.86
36ca7fc9f0df455096972d84d56b6b5b,069f18eb653b4bb3aa21aacd1dd05509,vid-29.mp4,3511,fast,2024-12-17 09:54:23.625502,2024-12-17 09:54:41.492749,2024-12-17 09:54:41.501349,2024-12-17 09:54:42.274211,2024-12-17 09:55:51.270785,2024-12-17 09:55:51.337250,tc-vm-1,compute3,0 days 00:00:17.867247,0 days 00:00:00.008600,0 days 00:00:00.772862,0 days 00:01:08.996574,0 days 00:00:00.066465,2.15,2.67,3.04,2.27,4.52,5.58
598b96733bad4834ab891d8bdaaa5e81,069f18eb653b4bb3aa21aacd1dd05509,vid-31.mp4,5565,ultrafast,2024-12-17 09:54:30.601717,2024-12-17 09:54:49.971029,2024-12-17 09:54:49.981636,2024-12-17 09:54:50.210755,2024-12-17 09:55:03.134890,2024-12-17 09:55:03.179962,tc-vm-3,compute1,0 days 00:00:19.369312,0 days 00:00:00.010607,0 days 00:00:00.229119,0 days 00:00:12.924135,0 days 00:00:00.045072,0.36,0.36,0.36,2.99,2.99,2.99
c3b7f6387ed840cd91ff8beb04f79a47,069f18eb653b4bb3aa21aacd1dd05509,vid-23.mp4,2336,fast,2024-12-17 09:54:36.065394,2024-12-17 09:54:52.264196,2024-12-17 09:54:52.277570,2024-12-17 09:54:52.475960,2024-12-17 09:55:24.256970,2024-12-17 09:55:24.305205,tc-vm-4,compute2,0 days 00:00:16.198802,0 days 00:00:00.013374,0 days 00:00:00.198390,0 days 00:00:31.781010,0 days 00:00:00.048235,1.05,1.16,1.26,4.55,4.86,5.02
0b8c8ce4b9124bc8b13f216483e6f23b,069f18eb653b4bb3aa21aacd1dd05509,vid-06.mp4,7201,ultrafast,2024-12-17 09:54:44.118534,2024-12-17 09:55:01.103560,2024-12-17 09:55:01.111927,2024-12-17 09:55:01.857798,2024-12-17 09:58:29.947398,2024-12-17 09:58:30.075116,tc-vm-5,compute3,0 days 00:00:16.985026,0 days 00:00:00.008367,0 days 00:00:00.745871,0 days 00:03:28.089600,0 days 00:00:00.127718,2.05,2.39,3.04,4.69,5.5,5.6
a48afb588fd946bbbaf189b0b228b040,069f18eb653b4bb3aa21aacd1dd05509,vid-04.mp4,4837,ultrafast,2024-12-17 09:54:50.198186,2024-12-17 09:55:03.204866,2024-12-17 09:55:03.213934,2024-12-17 09:55:03.452253,2024-12-17 09:55:54.070861,2024-12-17 09:55:54.157622,tc-vm-3,compute1,0 days 00:00:13.006680,0 days 00:00:00.009068,0 days 00:00:00.238319,0 days 00:00:50.618608,0 days 00:00:00.086761,0.72,1.09,1.32,3.17,3.68,4.18
bcfe1d740e3f4aa9a640bacc1a047991,069f18eb653b4bb3aa21aacd1dd05509,vid-35.mp4,2020,fast,2024-12-17 09:54:59.265201,2024-12-17 09:55:24.332448,2024-12-17 09:55:24.342521,2024-12-17 09:55:24.404408,2024-12-17 09:55:29.180185,2024-12-17 09:55:29.225788,tc-vm-4,compute2,0 days 00:00:25.067247,0 days 00:00:00.010073,0 days 00:00:00.061887,0 days 00:00:04.775777,0 days 00:00:00.045603,,,,,,
465f448d300e48ae98c18d920c358fae,069f18eb653b4bb3aa21aacd1dd05509,vid-27.mp4,4411,fast,2024-12-17 09:55:06.599997,2024-12-17 09:55:29.252690,2024-12-17 09:55:29.266534,2024-12-17 09:55:29.558324,2024-12-17 09:55:59.080434,2024-12-17 09:55:59.133630,tc-vm-4,compute2,0 days 00:00:22.652693,0 days 00:00:00.013844,0 days 00:00:00.291790,0 days 00:00:29.522110,0 days 00:00:00.053196,1.43,1.5,1.56,5.03,5.05,5.06
c758d82c79fa4173a8b38bf48afaffff,069f18eb653b4bb3aa21aacd1dd05509,vid-31.mp4,7502,fast,2024-12-17 09:55:10.466900,2024-12-17 09:55:51.362104,2024-12-17 09:55:51.373065,2024-12-17 09:55:51.595850,2024-12-17 09:56:20.785108,2024-12-17 09:56:20.842901,tc-vm-1,compute3,0 days 00:00:40.895204,0 days 00:00:00.010961,0 days 00:00:00.222785,0 days 00:00:29.189258,0 days 00:00:00.057793,2.54,2.62,2.7,5.6,5.6,5.6
8aa151106fb74c8583f959504d1ef29a,069f18eb653b4bb3aa21aacd1dd05509,vid-21.mp4,1475,ultrafast,2024-12-17 09:55:17.919692,2024-12-17 09:55:54.179487,2024-12-17 09:55:54.193222,2024-12-17 09:55:54.418586,2024-12-17 09:56:25.474725,2024-12-17 09:56:25.528520,tc-vm-3,compute1,0 days 00:00:36.259795,0 days 00:00:00.013735,0 days 00:00:00.225364,0 days 00:00:31.056139,0 days 00:00:00.053795,1.15,1.2,1.25,4.19,4.19,4.19
129d073454ee4b79956237fa8d74ae22,069f18eb653b4bb3aa21aacd1dd05509,vid-06.mp4,6294,ultrafast,2024-12-17 09:55:23.842999,2024-12-17 09:55:59.158815,2024-12-17 09:55:59.171495,2024-12-17 09:55:59.985825,2024-12-17 09:59:27.084407,2024-12-17 09:59:27.192554,tc-vm-4,compute2,0 days 00:00:35.315816,0 days 00:00:00.012680,0 days 00:00:00.814330,0 days 00:03:27.098582,0 days 00:00:00.108147,1.65,1.89,1.99,5.07,5.71,5.76
