id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
f804cc08ec114c4c9dd396f4475d59d0,0668bffec49b484b826dd9d009ccd4d6,vid-02.mp4,500,ultrafast,2024-12-16 05:57:59.671071,2024-12-16 05:58:01.245975,2024-12-16 05:58:01.262101,2024-12-16 05:58:01.392726,2024-12-16 05:58:46.289188,2024-12-16 05:58:46.356806,tc-pod-1,k8s-worker-1,0 days 00:00:01.574904,0 days 00:00:00.016126,0 days 00:00:00.130625,0 days 00:00:44.896462,0 days 00:00:00.067618,2.58,3.04,3.7,1.08,1.39,1.49
3e10a49f25c24eb8b167d674c21cb651,0668bffec49b484b826dd9d009ccd4d6,vid-02.mp4,500,ultrafast,2024-12-16 05:58:04.627103,2024-12-16 05:58:46.074796,2024-12-16 05:58:46.083767,2024-12-16 05:58:46.418013,2024-12-16 05:59:18.494215,2024-12-16 05:59:18.590097,tc-pod-2,k8s-worker-2,0 days 00:00:41.447693,0 days 00:00:00.008971,0 days 00:00:00.334246,0 days 00:00:32.076202,0 days 00:00:00.095882,1.54,2.59,3.65,0.82,1.09,1.22
749b65aaaf0346cb80b496ae8a5db6f5,0668bffec49b484b826dd9d009ccd4d6,vid-03.mp4,500,ultrafast,2024-12-16 05:58:09.624829,2024-12-16 05:58:46.376447,2024-12-16 05:58:46.384756,2024-12-16 05:58:46.452537,2024-12-16 06:01:01.417128,2024-12-16 06:01:01.513170,tc-pod-1,k8s-worker-1,0 days 00:00:36.751618,0 days 00:00:00.008309,0 days 00:00:00.067781,0 days 00:02:14.964591,0 days 00:00:00.096042,4.37,11.37,16.32,1.49,4.37,5.14
8e9902bfa3354286ac8043aebb1725ce,0668bffec49b484b826dd9d009ccd4d6,vid-04.mp4,500,ultrafast,2024-12-16 05:58:14.623698,2024-12-16 05:58:46.635246,2024-12-16 05:58:46.649569,2024-12-16 05:58:46.976238,2024-12-16 05:59:16.352385,2024-12-16 05:59:16.445706,tc-pod-3,k8s-worker-3,0 days 00:00:32.011548,0 days 00:00:00.014323,0 days 00:00:00.326669,0 days 00:00:29.376147,0 days 00:00:00.093321,0.99,2.07,3.15,0.9,1.17,1.3
e054f313e5734353a0a508393b7705b4,0668bffec49b484b826dd9d009ccd4d6,vid-05.mp4,500,ultrafast,2024-12-16 05:58:19.620369,2024-12-16 05:59:01.413682,2024-12-16 05:59:01.420800,2024-12-16 05:59:01.588132,2024-12-16 06:01:20.217001,2024-12-16 06:01:20.304380,tc-pod-4,k8s-worker-1,0 days 00:00:41.793313,0 days 00:00:00.007118,0 days 00:00:00.167332,0 days 00:02:18.628869,0 days 00:00:00.087379,5.7,12.75,16.8,2.39,4.76,5.14
becd52eabcdb49f19755a4c03aaa3ef2,0668bffec49b484b826dd9d009ccd4d6,vid-06.mp4,500,ultrafast,2024-12-16 05:58:24.621314,2024-12-16 05:59:02.040852,2024-12-16 05:59:02.049248,2024-12-16 05:59:02.917810,2024-12-16 06:00:34.178844,2024-12-16 06:00:34.299193,tc-pod-5,k8s-worker-2,0 days 00:00:37.419538,0 days 00:00:00.008396,0 days 00:00:00.868562,0 days 00:01:31.261034,0 days 00:00:00.120349,3.65,7.74,10.84,1.22,2.81,3.5
94cb67886d794f21b2e102642a32f2c3,0668bffec49b484b826dd9d009ccd4d6,vid-07.mp4,500,ultrafast,2024-12-16 05:58:29.628170,2024-12-16 05:59:03.160118,2024-12-16 05:59:03.168227,2024-12-16 05:59:03.547864,2024-12-16 05:59:28.420404,2024-12-16 05:59:28.518760,tc-pod-6,k8s-worker-3,0 days 00:00:33.531948,0 days 00:00:00.008109,0 days 00:00:00.379637,0 days 00:00:24.872540,0 days 00:00:00.098356,3.15,4.23,5.31,1.3,1.51,1.72
3d78abafd0794d6ca1449032208b320b,0668bffec49b484b826dd9d009ccd4d6,vid-08.mp4,500,ultrafast,2024-12-16 05:58:34.626396,2024-12-16 05:59:16.464460,2024-12-16 05:59:16.476563,2024-12-16 05:59:16.825104,2024-12-16 05:59:43.552527,2024-12-16 05:59:43.651156,tc-pod-3,k8s-worker-3,0 days 00:00:41.838064,0 days 00:00:00.012103,0 days 00:00:00.348541,0 days 00:00:26.727423,0 days 00:00:00.098629,5.31,5.92,6.54,1.36,1.48,1.72
228426806e3c4618ba701bc8e3547e98,0668bffec49b484b826dd9d009ccd4d6,vid-09.mp4,500,ultrafast,2024-12-16 05:58:39.622434,2024-12-16 05:59:16.540709,2024-12-16 05:59:16.549676,2024-12-16 05:59:16.791160,2024-12-16 06:01:39.247923,2024-12-16 06:01:39.335705,tc-pod-7,k8s-worker-1,0 days 00:00:36.918275,0 days 00:00:00.008967,0 days 00:00:00.241484,0 days 00:02:22.456763,0 days 00:00:00.087782,8.46,14.02,17.1,2.89,4.79,5.14
d3822888fd154c5cb0abcae07c7d4aa0,0668bffec49b484b826dd9d009ccd4d6,vid-10.mp4,500,ultrafast,2024-12-16 05:58:44.633339,2024-12-16 05:59:18.606997,2024-12-16 05:59:18.615124,2024-12-16 05:59:19.047473,2024-12-16 05:59:50.312383,2024-12-16 05:59:50.404525,tc-pod-2,k8s-worker-2,0 days 00:00:33.973658,0 days 00:00:00.008127,0 days 00:00:00.432349,0 days 00:00:31.264910,0 days 00:00:00.092142,5.69,6.64,7.59,2.55,2.55,2.55
f2fd303ef343453b89159996d5f962f9,0668bffec49b484b826dd9d009ccd4d6,vid-11.mp4,500,ultrafast,2024-12-16 05:58:49.615450,2024-12-16 05:59:28.537780,2024-12-16 05:59:28.548242,2024-12-16 05:59:29.535056,2024-12-16 06:00:57.886698,2024-12-16 06:00:58.006133,tc-pod-6,k8s-worker-3,0 days 00:00:38.922330,0 days 00:00:00.010462,0 days 00:00:00.986814,0 days 00:01:28.351642,0 days 00:00:00.119435,6.54,9.03,11.2,1.36,2.32,2.65
179677b3a1bf4ae9834ab44adc6dd691,0668bffec49b484b826dd9d009ccd4d6,vid-12.mp4,500,ultrafast,2024-12-16 05:58:54.615004,2024-12-16 05:59:43.673268,2024-12-16 05:59:43.681144,2024-12-16 05:59:44.017306,2024-12-16 06:00:13.402158,2024-12-16 06:00:13.498514,tc-pod-3,k8s-worker-3,0 days 00:00:49.058264,0 days 00:00:00.007876,0 days 00:00:00.336162,0 days 00:00:29.384852,0 days 00:00:00.096356,6.54,7.17,7.8,2.64,2.65,2.65
93537b2ee35844b89ffdf585055c73cb,0668bffec49b484b826dd9d009ccd4d6,vid-13.mp4,500,ultrafast,2024-12-16 05:58:59.617198,2024-12-16 05:59:50.428119,2024-12-16 05:59:50.442179,2024-12-16 05:59:51.200279,2024-12-16 06:01:29.642537,2024-12-16 06:01:29.768538,tc-pod-2,k8s-worker-2,0 days 00:00:50.810921,0 days 00:00:00.014060,0 days 00:00:00.758100,0 days 00:01:38.442258,0 days 00:00:00.126001,8.65,11.06,13.0,3.44,3.49,3.53
337244abda2846b6afaf2228f4a650d2,0668bffec49b484b826dd9d009ccd4d6,vid-14.mp4,500,ultrafast,2024-12-16 05:59:04.615554,2024-12-16 06:00:13.517159,2024-12-16 06:00:13.525819,2024-12-16 06:00:14.036471,2024-12-16 06:00:45.662145,2024-12-16 06:00:45.765943,tc-pod-3,k8s-worker-3,0 days 00:01:08.901605,0 days 00:00:00.008660,0 days 00:00:00.510652,0 days 00:00:31.625674,0 days 00:00:00.103798,10.51,10.86,11.2,2.29,2.53,2.65
e7c849989f7b42729384215c4787c267,0668bffec49b484b826dd9d009ccd4d6,vid-15.mp4,500,ultrafast,2024-12-16 05:59:09.616734,2024-12-16 06:00:34.323102,2024-12-16 06:00:34.330921,2024-12-16 06:00:35.549496,2024-12-16 06:02:26.885348,2024-12-16 06:02:27.001004,tc-pod-5,k8s-worker-2,0 days 00:01:24.706368,0 days 00:00:00.007819,0 days 00:00:01.218575,0 days 00:01:51.335852,0 days 00:00:00.115656,7.64,10.86,13.0,2.18,3.04,3.53
4f6632a27d6a4295b72d824e923b184a,0668bffec49b484b826dd9d009ccd4d6,vid-16.mp4,500,ultrafast,2024-12-16 05:59:14.620916,2024-12-16 06:00:45.794953,2024-12-16 06:00:45.806089,2024-12-16 06:00:46.142985,2024-12-16 06:01:15.854453,2024-12-16 06:01:15.949802,tc-pod-3,k8s-worker-3,0 days 00:01:31.174037,0 days 00:00:00.011136,0 days 00:00:00.336896,0 days 00:00:29.711468,0 days 00:00:00.095349,11.69,11.91,12.14,1.35,1.78,2.65
bd8efb4422004daca03a98a414bc32e7,0668bffec49b484b826dd9d009ccd4d6,vid-17.mp4,500,ultrafast,2024-12-16 05:59:19.619719,2024-12-16 06:00:58.024695,2024-12-16 06:00:58.039729,2024-12-16 06:00:58.668917,2024-12-16 06:02:34.310149,2024-12-16 06:02:34.411274,tc-pod-6,k8s-worker-3,0 days 00:01:38.404976,0 days 00:00:00.015034,0 days 00:00:00.629188,0 days 00:01:35.641232,0 days 00:00:00.101125,11.69,12.28,12.6,1.35,3.02,3.58
1704bbec96074280adc8fec9a9e5e17e,0668bffec49b484b826dd9d009ccd4d6,vid-18.mp4,500,ultrafast,2024-12-16 05:59:24.618787,2024-12-16 06:01:01.539119,2024-12-16 06:01:01.546669,2024-12-16 06:01:01.736610,2024-12-16 06:01:41.173613,2024-12-16 06:01:41.250336,tc-pod-1,k8s-worker-1,0 days 00:01:36.920332,0 days 00:00:00.007550,0 days 00:00:00.189941,0 days 00:00:39.437003,0 days 00:00:00.076723,16.8,16.95,17.1,2.89,3.78,5.14
