id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
5e970461a7a643739b79cb5fef66a6ed,acd5506862134159914e0af1bdf02742,vid-02.mp4,500,ultrafast,2024-12-17 08:48:13.860914,2024-12-17 08:48:36.476198,2024-12-17 08:48:36.491199,2024-12-17 08:48:36.838214,2024-12-17 08:49:28.014181,2024-12-17 08:49:28.110850,tc-vm-1,compute2,0 days 00:00:22.615284,0 days 00:00:00.015001,0 days 00:00:00.347015,0 days 00:00:51.175967,0 days 00:00:00.096669,0.27,0.64,1.04,2.54,2.74,2.89
096906ece4764117bd671472f1c7bb25,acd5506862134159914e0af1bdf02742,vid-02.mp4,500,ultrafast,2024-12-17 08:48:18.829575,2024-12-17 08:49:15.230896,2024-12-17 08:49:15.241376,2024-12-17 08:49:15.537122,2024-12-17 08:50:07.807135,2024-12-17 08:50:07.892257,tc-vm-2,compute3,0 days 00:00:56.401321,0 days 00:00:00.010480,0 days 00:00:00.295746,0 days 00:00:52.270013,0 days 00:00:00.085122,0.81,1.2,1.49,2.24,3.2,3.44
93048b72e29a488e9ab47ac0b820eca5,acd5506862134159914e0af1bdf02742,vid-03.mp4,500,ultrafast,2024-12-17 08:48:23.823908,2024-12-17 08:49:18.392728,2024-12-17 08:49:18.400798,2024-12-17 08:49:19.016365,2024-12-17 08:52:47.911406,2024-12-17 08:52:48.011424,tc-vm-3,compute1,0 days 00:00:54.568820,0 days 00:00:00.008070,0 days 00:00:00.615567,0 days 00:03:28.895041,0 days 00:00:00.100018,0.75,1.61,1.95,2.79,5.42,5.58
09d6277b30c94a98a258e3aebf6bccb0,acd5506862134159914e0af1bdf02742,vid-04.mp4,500,ultrafast,2024-12-17 08:48:28.823832,2024-12-17 08:49:18.615167,2024-12-17 08:49:18.623368,2024-12-17 08:49:19.084087,2024-12-17 08:50:10.996435,2024-12-17 08:50:11.087948,tc-vm-4,compute3,0 days 00:00:49.791335,0 days 00:00:00.008201,0 days 00:00:00.460719,0 days 00:00:51.912348,0 days 00:00:00.091513,0.81,1.2,1.49,2.24,3.24,3.44
416d74da1ac543da85092c6a1e584ab1,acd5506862134159914e0af1bdf02742,vid-05.mp4,500,ultrafast,2024-12-17 08:48:33.826296,2024-12-17 08:49:21.608920,2024-12-17 08:49:21.616993,2024-12-17 08:49:22.225049,2024-12-17 08:52:48.080276,2024-12-17 08:52:48.191963,tc-vm-6,compute1,0 days 00:00:47.782624,0 days 00:00:00.008073,0 days 00:00:00.608056,0 days 00:03:25.855227,0 days 00:00:00.111687,0.75,1.61,1.95,5.23,5.55,5.58
608fa95898c14ff19fa3b52f2efdd6b2,acd5506862134159914e0af1bdf02742,vid-06.mp4,500,ultrafast,2024-12-17 08:48:38.825281,2024-12-17 08:49:22.556857,2024-12-17 08:49:22.567052,2024-12-17 08:49:23.414042,2024-12-17 08:53:04.482417,2024-12-17 08:53:04.593152,tc-vm-5,compute2,0 days 00:00:43.731576,0 days 00:00:00.010195,0 days 00:00:00.846990,0 days 00:03:41.068375,0 days 00:00:00.110735,1.47,2.54,2.96,4.09,6.17,7.15
ac7caf6d9e7342edbecbf4c2028af87d,acd5506862134159914e0af1bdf02742,vid-07.mp4,500,ultrafast,2024-12-17 08:48:43.825729,2024-12-17 08:49:23.385080,2024-12-17 08:49:23.400803,2024-12-17 08:49:23.722187,2024-12-17 08:50:20.100988,2024-12-17 08:50:20.196126,tc-vm-7,compute2,0 days 00:00:39.559351,0 days 00:00:00.015723,0 days 00:00:00.321384,0 days 00:00:56.378801,0 days 00:00:00.095138,1.47,1.79,2.08,4.09,5.34,5.59
923603806a904b448ee8a5f3f86c3ce0,acd5506862134159914e0af1bdf02742,vid-08.mp4,500,ultrafast,2024-12-17 08:48:48.827465,2024-12-17 08:49:28.135024,2024-12-17 08:49:28.143053,2024-12-17 08:49:28.484898,2024-12-17 08:50:25.961281,2024-12-17 08:50:26.052505,tc-vm-1,compute2,0 days 00:00:39.307559,0 days 00:00:00.008029,0 days 00:00:00.341845,0 days 00:00:57.476383,0 days 00:00:00.091224,1.47,1.91,2.28,4.09,5.34,5.59
ce28902a237d4eebb1afbb344a37889d,acd5506862134159914e0af1bdf02742,vid-09.mp4,500,ultrafast,2024-12-17 08:48:53.825631,2024-12-17 08:50:07.912282,2024-12-17 08:50:07.918983,2024-12-17 08:50:08.683425,2024-12-17 08:53:40.578490,2024-12-17 08:53:40.703614,tc-vm-2,compute3,0 days 00:01:14.086651,0 days 00:00:00.006701,0 days 00:00:00.764442,0 days 00:03:31.895065,0 days 00:00:00.125124,1.6,1.92,2.05,3.44,4.62,4.98
d6d28f0abef146cbbcd527628c40bf40,acd5506862134159914e0af1bdf02742,vid-10.mp4,500,ultrafast,2024-12-17 08:48:58.826693,2024-12-17 08:50:11.112920,2024-12-17 08:50:11.121803,2024-12-17 08:50:11.550664,2024-12-17 08:51:08.072554,2024-12-17 08:51:08.164496,tc-vm-4,compute3,0 days 00:01:12.286227,0 days 00:00:00.008883,0 days 00:00:00.428861,0 days 00:00:56.521890,0 days 00:00:00.091942,1.6,1.76,1.86,3.44,4.06,4.22
