id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
c028991bf2254b3490060ab326584f7f,6bd07e569a2e4be5a87101ee9ef0b048,vid-02.mp4,500,ultrafast,2024-12-15 22:42:50.708309,2024-12-15 22:42:51.809630,2024-12-15 22:42:51.818428,2024-12-15 22:42:52.097785,2024-12-15 22:43:37.250592,2024-12-15 22:43:37.344301,tc-pod-3,k8s-worker-2,0 days 00:00:01.101321,0 days 00:00:00.008798,0 days 00:00:00.279357,0 days 00:00:45.152807,0 days 00:00:00.093709,1.17,2.13,2.89,1.19,1.19,1.2
23db6867bf2748138b997075066e7789,d1d71b031cc24a919359e84239baacc8,vid-02.mp4,500,ultrafast,2024-12-15 22:45:42.987997,2024-12-15 22:45:44.108606,2024-12-15 22:45:44.118084,2024-12-15 22:45:44.460631,2024-12-15 22:46:32.566074,2024-12-15 22:46:32.713130,tc-pod-3,k8s-worker-3,0 days 00:00:01.120609,0 days 00:00:00.009478,0 days 00:00:00.342547,0 days 00:00:48.105443,0 days 00:00:00.147056,1.27,1.43,1.7,0.88,1.2,1.28
9e27029d73aa41189c6495055506cff1,d1d71b031cc24a919359e84239baacc8,vid-03.mp4,500,ultrafast,2024-12-15 22:45:43.486976,2024-12-15 22:45:44.525890,2024-12-15 22:45:44.535611,2024-12-15 22:45:45.108941,2024-12-15 22:47:26.577637,2024-12-15 22:47:26.748083,tc-pod-4,k8s-worker-2,0 days 00:00:01.038914,0 days 00:00:00.009721,0 days 00:00:00.573330,0 days 00:01:41.468696,0 days 00:00:00.170446,1.43,2.27,3.91,0.8,2.0,2.14
d2fd8492febc45b3b00ca8c59dbcc37a,d1d71b031cc24a919359e84239baacc8,vid-04.mp4,500,ultrafast,2024-12-15 22:45:43.989080,2024-12-15 22:46:32.739101,2024-12-15 22:46:32.754931,2024-12-15 22:46:33.048221,2024-12-15 22:47:10.144150,2024-12-15 22:47:10.240984,tc-pod-3,k8s-worker-3,0 days 00:00:48.750021,0 days 00:00:00.015830,0 days 00:00:00.293290,0 days 00:00:37.095929,0 days 00:00:00.096834,2.17,2.35,2.54,1.27,1.28,1.28
6ee29d3ca4cb43638d00b40047894ead,d1d71b031cc24a919359e84239baacc8,vid-05.mp4,500,ultrafast,2024-12-15 22:45:44.501434,2024-12-15 22:47:10.263246,2024-12-15 22:47:10.274794,2024-12-15 22:47:10.933083,2024-12-15 22:48:51.585167,2024-12-15 22:48:51.694887,tc-pod-3,k8s-worker-3,0 days 00:01:25.761812,0 days 00:00:00.011548,0 days 00:00:00.658289,0 days 00:01:40.652084,0 days 00:00:00.109720,2.89,3.69,4.26,2.09,2.21,2.23
e8707430900a41749226322c66588bfd,d1d71b031cc24a919359e84239baacc8,vid-06.mp4,500,ultrafast,2024-12-15 22:45:44.987047,2024-12-15 22:47:26.778793,2024-12-15 22:47:26.792070,2024-12-15 22:47:27.611831,2024-12-15 22:49:08.588093,2024-12-15 22:49:08.702511,tc-pod-4,k8s-worker-2,0 days 00:01:41.791746,0 days 00:00:00.013277,0 days 00:00:00.819761,0 days 00:01:40.976262,0 days 00:00:00.114418,4.05,4.51,5.05,2.03,2.11,2.14
3b246c13561b46b58521376d14400b90,d1d71b031cc24a919359e84239baacc8,vid-07.mp4,500,ultrafast,2024-12-15 22:45:45.483753,2024-12-15 22:48:51.734103,2024-12-15 22:48:51.744506,2024-12-15 22:48:52.092293,2024-12-15 22:49:35.583285,2024-12-15 22:49:35.705847,tc-pod-3,k8s-worker-3,0 days 00:03:06.250350,0 days 00:00:00.010403,0 days 00:00:00.347787,0 days 00:00:43.490992,0 days 00:00:00.122562,3.95,4.32,4.64,1.27,1.27,1.27
33f30f7f47674ab1a61357c3574e3403,d1d71b031cc24a919359e84239baacc8,vid-08.mp4,500,ultrafast,2024-12-15 22:45:45.988855,2024-12-15 22:49:08.744474,2024-12-15 22:49:08.751506,2024-12-15 22:49:09.104447,2024-12-15 22:49:47.816573,2024-12-15 22:49:47.930745,tc-pod-4,k8s-worker-2,0 days 00:03:22.755619,0 days 00:00:00.007032,0 days 00:00:00.352941,0 days 00:00:38.712126,0 days 00:00:00.114172,4.68,4.85,5.15,1.19,1.43,2.14
d070f33cc0c64bfd8cfe30138309c602,d1d71b031cc24a919359e84239baacc8,vid-09.mp4,500,ultrafast,2024-12-15 22:45:46.487490,2024-12-15 22:49:35.733367,2024-12-15 22:49:35.744318,2024-12-15 22:49:36.519859,2024-12-15 22:51:10.135053,2024-12-15 22:51:10.274332,tc-pod-3,k8s-worker-3,0 days 00:03:49.245877,0 days 00:00:00.010951,0 days 00:00:00.775541,0 days 00:01:33.615194,0 days 00:00:00.139279,3.77,4.86,5.59,1.27,2.11,2.22
53f70f55e6844fb9b637d8911e69fbc0,d1d71b031cc24a919359e84239baacc8,vid-10.mp4,500,ultrafast,2024-12-15 22:45:46.988526,2024-12-15 22:49:47.959278,2024-12-15 22:49:47.978789,2024-12-15 22:49:48.414805,2024-12-15 22:50:33.424877,2024-12-15 22:50:33.530332,tc-pod-4,k8s-worker-2,0 days 00:04:00.970752,0 days 00:00:00.019511,0 days 00:00:00.436016,0 days 00:00:45.010072,0 days 00:00:00.105455,3.52,4.19,4.53,1.19,1.19,1.2
