id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
99c048f027ff4678a0c70dceae27ff6d,62a65aa766d849509f0ee2b0fc2dd13d,vid-01.mp4,500,ultrafast,2024-12-16 22:58:21.761771,2024-12-16 22:58:26.379572,2024-12-16 22:58:26.392567,2024-12-16 22:58:27.428892,2024-12-16 23:02:10.508880,2024-12-16 23:02:10.604476,tc-vm-2,compute2,0 days 00:00:04.617801,0 days 00:00:00.012995,0 days 00:00:01.036325,0 days 00:03:43.079988,0 days 00:00:00.095596,0.7,1.67,2.13,2.7,5.21,5.34
2687e642d3f3418cab59c332c09187dc,62a65aa766d849509f0ee2b0fc2dd13d,vid-02.mp4,500,ultrafast,2024-12-16 22:58:22.220848,2024-12-16 22:58:26.545689,2024-12-16 22:58:26.565704,2024-12-16 22:58:27.130886,2024-12-16 22:59:22.070896,2024-12-16 22:59:22.164082,tc-vm-1,compute3,0 days 00:00:04.324841,0 days 00:00:00.020015,0 days 00:00:00.565182,0 days 00:00:54.940010,0 days 00:00:00.093186,0.73,1.23,1.71,2.79,4.2,4.48
6fd5b88da4824cd59dbde0cb78bc991a,62a65aa766d849509f0ee2b0fc2dd13d,vid-03.mp4,500,ultrafast,2024-12-16 22:58:22.718187,2024-12-16 22:58:28.136344,2024-12-16 22:58:28.149225,2024-12-16 22:58:28.678392,2024-12-16 23:01:57.013185,2024-12-16 23:01:57.112697,tc-vm-3,compute1,0 days 00:00:05.418157,0 days 00:00:00.012881,0 days 00:00:00.529167,0 days 00:03:28.334793,0 days 00:00:00.099512,1.19,1.75,1.97,2.96,5.43,5.57
7c6635410bed4ec9af30261286e22006,62a65aa766d849509f0ee2b0fc2dd13d,vid-04.mp4,500,ultrafast,2024-12-16 22:58:23.220055,2024-12-16 22:58:30.824263,2024-12-16 22:58:30.834953,2024-12-16 22:58:31.131174,2024-12-16 22:59:26.353255,2024-12-16 22:59:26.438540,tc-vm-4,compute3,0 days 00:00:07.604208,0 days 00:00:00.010690,0 days 00:00:00.296221,0 days 00:00:55.222081,0 days 00:00:00.085285,0.73,1.42,2.0,4.47,4.48,4.48
b2d1e3dec5ed4bdbbc289ad56cb47c9a,62a65aa766d849509f0ee2b0fc2dd13d,vid-05.mp4,500,ultrafast,2024-12-16 22:58:23.725814,2024-12-16 22:58:31.385249,2024-12-16 22:58:31.395027,2024-12-16 22:58:32.039657,2024-12-16 23:01:53.958165,2024-12-16 23:01:54.066060,tc-vm-5,compute2,0 days 00:00:07.659435,0 days 00:00:00.009778,0 days 00:00:00.644630,0 days 00:03:21.918508,0 days 00:00:00.107895,0.7,1.64,2.13,5.24,5.32,5.34
f1d3a7db14794dd9b3f405b9048cd061,62a65aa766d849509f0ee2b0fc2dd13d,vid-06.mp4,500,ultrafast,2024-12-16 22:58:24.219141,2024-12-16 22:58:32.720596,2024-12-16 22:58:32.731725,2024-12-16 22:58:33.440486,2024-12-16 23:02:07.788499,2024-12-16 23:02:07.892829,tc-vm-6,compute1,0 days 00:00:08.501455,0 days 00:00:00.011129,0 days 00:00:00.708761,0 days 00:03:34.348013,0 days 00:00:00.104330,1.19,1.75,1.97,5.54,5.56,5.57
ce095fcbdab24a69a20509a4f4eee303,62a65aa766d849509f0ee2b0fc2dd13d,vid-07.mp4,500,ultrafast,2024-12-16 22:58:24.712328,2024-12-16 22:58:35.101025,2024-12-16 22:58:35.109539,2024-12-16 22:58:35.474207,2024-12-16 22:59:32.040604,2024-12-16 22:59:32.131592,tc-vm-7,compute3,0 days 00:00:10.388697,0 days 00:00:00.008514,0 days 00:00:00.364668,0 days 00:00:56.566397,0 days 00:00:00.090988,0.73,1.42,2.0,4.47,4.48,4.48
70be5a3dbc1143eeb809bc919e363d9b,62a65aa766d849509f0ee2b0fc2dd13d,vid-08.mp4,500,ultrafast,2024-12-16 22:58:25.219421,2024-12-16 22:59:22.189014,2024-12-16 22:59:22.197786,2024-12-16 22:59:22.540252,2024-12-16 23:00:19.550611,2024-12-16 23:00:19.640097,tc-vm-1,compute3,0 days 00:00:56.969593,0 days 00:00:00.008772,0 days 00:00:00.342466,0 days 00:00:57.010359,0 days 00:00:00.089486,2.0,2.29,2.53,4.48,5.07,5.26
def1f62f578f4aefb2f9bca5240155ee,62a65aa766d849509f0ee2b0fc2dd13d,vid-09.mp4,500,ultrafast,2024-12-16 22:58:25.714814,2024-12-16 22:59:26.462912,2024-12-16 22:59:26.478899,2024-12-16 22:59:27.242686,2024-12-16 23:03:13.757482,2024-12-16 23:03:13.863604,tc-vm-4,compute3,0 days 00:01:00.748098,0 days 00:00:00.015987,0 days 00:00:00.763787,0 days 00:03:46.514796,0 days 00:00:00.106122,2.22,2.77,2.98,4.48,6.1,6.77
eed8e663305c4635860a43f0887927e0,62a65aa766d849509f0ee2b0fc2dd13d,vid-10.mp4,500,ultrafast,2024-12-16 22:58:26.219049,2024-12-16 22:59:32.152125,2024-12-16 22:59:32.165073,2024-12-16 22:59:32.599522,2024-12-16 23:00:32.129171,2024-12-16 23:00:32.224449,tc-vm-7,compute3,0 days 00:01:05.933076,0 days 00:00:00.012948,0 days 00:00:00.434449,0 days 00:00:59.529649,0 days 00:00:00.095278,2.22,2.44,2.63,5.17,5.34,5.93
